src_addr,dst_addr,src_num_port,dst_num_port,src_num_packet,dst_num_packet,src_num_byte,dst_num_byte,src_size_min_packet,src_size_max_packet,src_size_mean_packet,src_size_stddev_packet,dst_size_min_packet,dst_size_max_packet,dst_size_mean_packet,dst_size_stddev_packet,src_time_min_packet,src_time_max_packet,src_time_mean_packet,src_time_stddev_packet,dst_time_min_packet,dst_time_max_packet,dst_time_mean_packet,dst_time_stddev_packet,read_times,read_num_location,read_length_location,write_times,write_num_location,write_length_location,ilrt,IP_addr,vendor,model,label,label_code
192.168.158.111,140.25.167.16,1,1,6,5,275,316,40,52,45.83,5.84,40,144,63.2,40.67,0.0,11.718,2.99,4.417,0.307,11.411,3.42,4.646,1,0,0,0,0,0,1.65629,140.25.167.16,Ulusoy Elektrik,RTU:UE-RTU32,Eaton,4
192.168.158.111,110.184.81.79,1,1,5,6,223,297,40,52,44.6,5.64,40,97,49.5,21.24,0.0,0.256,0.187,0.108,0.001,0.248,0.148,0.119,1,0,0,0,0,0,0.0,110.184.81.79,Schneider Electric,PLC:BMX P34 20302,Schneider,10
192.168.158.111,139.155.162.196,1,1,5,5,223,340,40,52,44.6,5.64,40,168,68.0,50.22,0.0,0.499,0.315,0.188,0.001,0.381,0.22,0.166,1,0,0,0,0,0,0.117564,139.155.162.196,Schneider Electric,Power Meter:ION7400,Schneider,10
192.168.158.111,95.240.154.116,1,1,5,6,223,304,40,52,44.6,5.64,40,96,50.67,20.48,0.0,0.264,0.198,0.114,0.001,0.265,0.158,0.128,1,0,0,0,0,0,0.0,95.240.154.116,Schneider Electric SAS,Communication Module:TSXETY4103,Schneider,10
192.168.158.111,44.158.207.250,1,1,4,4,183,216,40,52,45.75,5.76,40,92,54.0,22.0,0.0,0.32,0.211,0.149,0.02,0.32,0.217,0.139,1,0,0,0,0,0,0.0,44.158.207.250,Schneider Electric,PLC:TM221CE40R,Schneider,10
192.168.158.111,95.240.3.136,1,1,5,6,223,300,40,52,44.6,5.64,40,96,50.0,20.62,0.0,0.303,0.212,0.123,0.001,0.271,0.162,0.131,1,0,0,0,0,0,0.0,95.240.3.136,Schneider Electric,PLC:BMX P34 2020,Schneider,10
192.168.158.111,139.155.162.195,1,1,4,4,183,169,40,52,45.75,5.76,40,49,42.25,3.9,0.0,0.468,0.289,0.206,0.03,0.438,0.292,0.186,1,0,0,0,0,0,0.029806,139.155.162.195,Schneider Electric,Power Meter:ION7400,Schneider,10
192.168.158.111,44.158.207.248,1,1,4,4,183,216,40,52,45.75,5.76,40,92,54.0,22.0,0.0,0.335,0.222,0.157,0.0,0.332,0.22,0.156,1,0,0,0,0,0,0.0,44.158.207.248,Schneider Electric,PLC:TM221CE40R,Schneider,10
192.168.158.111,94.230.96.40,1,1,3,0,156,0,52,52,52.0,0.0,0,0,0.0,0.0,1.007,2.002,1.505,0.498,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-1.0,94.230.96.40,Ulusoy Elektrik,RTU:UE-RTU32,Eaton,4
192.168.158.111,80.155.48.1,1,1,5,4,223,254,40,52,44.6,5.64,40,122,63.5,34.13,0.0,0.249,0.175,0.101,0.0,0.249,0.158,0.112,1,0,0,0,0,0,0.0,80.155.48.1,PEWEU,PLC:FPWEBD,PIEU,6
192.168.158.111,95.240.243.52,1,1,5,6,223,299,40,52,44.6,5.64,40,95,49.83,20.25,0.0,0.249,0.186,0.107,0.0,0.249,0.148,0.12,1,0,0,0,0,0,0.0,95.240.243.52,Schneider Electric,Communication Module:BMX NOE 0100,Schneider,10
192.168.158.111,82.179.36.124,1,1,5,4,223,181,40,52,44.6,5.64,40,52,45.25,5.36,0.0,0.998,0.575,0.362,0.324,0.674,0.534,0.151,1,0,0,0,0,0,0.323901,82.179.36.124,Schneider Electric,Power Meter:PM5111,Schneider,10
192.168.158.111,139.155.162.197,1,1,5,5,223,340,40,52,44.6,5.64,40,168,68.0,50.22,0.0,0.759,0.385,0.268,0.002,0.387,0.286,0.164,1,0,0,0,0,0,0.38709,139.155.162.197,Schneider Electric,Power Meter:ION7400,Schneider,10
192.168.158.111,78.178.58.18,1,1,5,5,223,259,40,52,44.6,5.64,40,95,51.8,21.66,0.0,0.461,0.342,0.198,0.0,0.461,0.229,0.229,1,0,0,0,0,0,0.0,78.178.58.18,Schneider Electric,Communication Module:BMX NOE 0100,Schneider,10
